method,comm_power_ratio,sense_power_ratio,robust_rate_q05_bps_hz,target_snr_mean_db,sensing_violation_percent
RZF+NS-MRT,0.1,0.9,0.564988136,6.539612293,18.367750168
RZF+NS-MRT,0.2,0.8,1.017404079,6.256336689,19.251998901
RZF+NS-MRT,0.3,0.7,1.411056042,5.953287125,20.722000122
RZF+NS-MRT,0.4,0.6,1.764459133,5.627492905,23.446998596
RZF+NS-MRT,0.5,0.5,2.085294485,5.275261402,28.061998367
RZF+NS-MRT,0.6,0.4,2.367231607,4.891921043,35.413997650
RZF+NS-MRT,0.7,0.3,2.602748156,4.471440792,46.057247162
RZF+NS-MRT,0.8,0.2,2.786897659,4.005841732,58.454250336
RZF+NS-MRT,0.9,0.1,2.915583849,3.484265327,68.105247498
ROB0.5,0.1,0.9,0.430272251,7.448271751,5.164499760
ROB0.5,0.2,0.8,0.782466769,7.244256020,5.646999836
ROB0.5,0.3,0.7,1.083382607,7.030180931,6.441750050
ROB0.5,0.4,0.6,1.339451671,6.805004120,7.675249577
ROB0.5,0.5,0.5,1.552803755,6.567509651,9.577750206
ROB0.5,0.6,0.4,1.723998904,6.316273689,12.480999947
ROB0.5,0.7,0.3,1.857734919,6.049608231,16.921249390
ROB0.5,0.8,0.2,1.954829097,5.765490055,23.048999786
ROB0.5,0.9,0.1,2.023919821,5.461474419,30.516248703
